street,district
Tiên Sơn 14,Ngũ Hành Sơn
Tiên Sơn 15,Ngũ Hành Sơn
Tiên Sơn 16,Liên Chiểu
Tiên Sơn 17,Cẩm Lệ
Tiên Sơn 18,Cẩm Lệ
Tiên Sơn 2,Hải Châu
Tiên Sơn 20,Sơn Trà
Tiên Sơn 21,Hải Châu
Tiên Sơn 3,Sơn Trà
Tiên Sơn 4,Sơn Trà
Tiên Sơn 5,Sơn Trà
Tiên Sơn 6,Thanh Khê
Tiên Sơn 7,Ngũ Hành Sơn
Tiên Sơn 8,Liên Chiểu
Tiên Sơn 9,Sơn Trà
Tiểu La,Liên Chiểu
Tô Hiến Thành,Liên Chiểu
Tô Hiệu,Liên Chiểu
Tố Hữu,Hải Châu
Tố Hữu (nối dài),Hải Châu
Tô Ngọc Vân,Thanh Khê
Tôn Đản,Cẩm Lệ
Tôn Đức Thắng,Liên Chiểu
Tôn Quang Phiệt,Sơn Trà
Tôn Quang Phiệt (nối dài),Sơn Trà
Tôn Thất Tùng,Thanh Khê
Tôn Thất Thiệp,Sơn Trà
Tôn Thất Thuyết,Hải Châu
Tống Duy Tân,Liên Chiểu
Tống Phước Phổ,Sơn Trà
Tốt Động,Liên Chiểu
Tú Mỡ,Cẩm Lệ
Tú Quỳ,Liên Chiểu
Tuệ Tĩnh,Hải Châu
Tùng Lâm 1,Cẩm Lệ
Tùng Lâm 10,Cẩm Lệ
Tùng Lâm 2,Cẩm Lệ
Tùng Lâm 3,Cẩm Lệ
Tùng Lâm 4,Cẩm Lệ
Tùng Lâm 5,Cẩm Lệ
Tùng Lâm 6,Cẩm Lệ
Tùng Lâm 7,Cẩm Lệ
Tùng Lâm 8,Cẩm Lệ
Tùng Lâm 9,Cẩm Lệ
Tùng Thiện Vương,Ngũ Hành Sơn
Tuy Lý Vương,Ngũ Hành Sơn
Tự Đức,Liên Chiểu
Thạch Lam,Liên Chiểu
Thái Phiên,Hải Châu
Thái Thị Bôi,Thanh Khê
Thái Văn A,Ngũ Hành Sơn
Thanh Duyên,Hải Châu
Thanh Hải,Hải Châu
Thanh Hóa,Ngũ Hành Sơn
Thanh Huy 1,Thanh Khê
Thanh Huy 2,Thanh Khê
Thanh Huy 3,Thanh Khê
Thanh Khê 6,Thanh Khê
Thanh Long,Hải Châu
Thanh Sơn,Hải Châu
Thanh Tịnh,Liên Chiểu
Thành Thái,Hải Châu
Thanh Thủy,Hải Châu
Thanh Vinh 1,Liên Chiểu
Thành Vinh 1,Sơn Trà
Thanh Vinh 10,Liên Chiểu
Thanh Vinh 11,Liên Chiểu
Thanh Vinh 12,Liên Chiểu
Thanh Vinh 14,Liên Chiểu
Thanh Vinh 15,Liên Chiểu
Thanh Vinh 16,Liên Chiểu
Thanh Vinh 17,Liên Chiểu
Thanh Vinh 2,Liên Chiểu
Thanh Vinh 3,Liên Chiểu
Thanh Vinh 4,Liên Chiểu
Thanh Vinh 5,Liên Chiểu
Thanh Vinh 6,Liên Chiểu
Thanh Vinh 7,Liên Chiểu
Thanh Vinh 8,Liên Chiểu
Thanh Vinh 9,Liên Chiểu
Thăng Long,Sơn Trà
Thân Cảnh Phúc,Cẩm Lệ
Thân Nhân Trung,Thanh Khê
Thép Mới,Liên Chiểu
Thế Lữ,Sơn Trà
Thi Sách,Hải Châu
Thích Phước Huệ,Sơn Trà
Thích Quảng Đức,Liên Chiểu
Thích Thiện Chiếu,Ngũ Hành Sơn
Thôi Hữu,Sơn Trà
Thu Bồn,Cẩm Lệ
Thủ Khoa Huân,Sơn Trà
Thuận An 1,Liên Chiểu
Thuận An 2,Thanh Khê
Thuận An 3,Ngũ Hành Sơn
Thuận An 4,Sơn Trà
Thuận An 5,Sơn Trà
Thuận An 6,Ngũ Hành Sơn
Thúc Tề,Sơn Trà
Thuỷ Sơn 1,Ngũ Hành Sơn
Thuỷ Sơn 2,Ngũ Hành Sơn
Thuỷ Sơn 3,Ngũ Hành Sơn
Thuỷ Sơn 4,Liên Chiểu
Thuỷ Sơn 5,Ngũ Hành Sơn
Thượng Đức,Ngũ Hành Sơn
Trà Lộ,Ngũ Hành Sơn
Trà Na 1,Liên Chiểu
Trà Na 2,Liên Chiểu
Trà Na 3,Liên Chiểu
Trần Anh Tông,Liên Chiểu
Trần Bích San,Liên Chiểu
Trần Bình Trọng,Hải Châu
Trần Can,Liên Chiểu
Trần Cao Vân,Hải Châu
Trần Cừ,Ngũ Hành Sơn
Trần Đại Nghĩa,Ngũ Hành Sơn
Trần Đăng Ninh,Liên Chiểu
Trần Đình Đàn,Sơn Trà
Trần Đình Long,Cẩm Lệ
Trần Đình Phong,Sơn Trà
Trần Đình Tri,Cẩm Lệ
Trần Đức Thảo,Cẩm Lệ
Trần Hoành,Thanh Khê
Trần Huân,Cẩm Lệ
Trần Huy Liệu,Cẩm Lệ
Trần Huy Liệu (nối dài),Cẩm Lệ
Trần Hưng Đạo,Sơn Trà
Trần Hữu Duẩn,Cẩm Lệ cung cấp
Trần Hữu Dực,Sơn Trà
Trần Hữu Độ,Ngũ Hành Sơn
Trần Kế Xương,Hải Châu
Trần Kim Bảng,Cẩm Lệ
Trần Khánh Dư,Ngũ Hành Sơn
Trần Khát Chân,Sơn Trà
Trần Lê,Sơn Trà
Trần Lựu,Cẩm Lệ
Trần Mai Ninh,Sơn Trà
Trần Nam Trung,Sơn Trà
Trần Ngọc Sương,Cẩm Lệ
Trần Nguyên Đán,Liên Chiểu
Trần Nguyên Hãn,Sơn Trà
Trần Nhân Tông,Sơn Trà
Trần Nhật Duật,Sơn Trà
Trần Phú,Hải Châu
Trần Phước Thành,Ngũ Hành Sơn
Trần Phước Thành (nối dài),Sơn Trà
Trần Quang Diệu,Cẩm Lệ
Trần Quang Khải,Sơn Trà
Trần Quang Khải (nối dài),Hải Châu
Trần Quốc Hoàn,Sơn Trà
Trần Quốc Toản,Hải Châu
Trần Quốc Thảo,Hải Châu
Trần Quý Cáp,Hải Châu
Trần Quý Hai,Cẩm Lệ
Trần Sâm,Cẩm Lệ
Trần Tấn,Liên Chiểu
Trần Tấn Mới,Hải Châu
Trần Tống,Sơn Trà
Trần Thái Tông,Liên Chiểu
Trần Thanh Mại,Sơn Trà
Trần Thánh Tông,Sơn Trà
Trần Thanh Trung,Thanh Khê
Trần Thị Lý,Hải Châu
Trần Thủ Độ,Cẩm Lệ
Trần Thuyết,Sơn Trà
Trần Văn Dư,Ngũ Hành Sơn
Trần Văn Dư (nối dài),Ngũ Hành Sơn
Trần Văn Đán,Ngũ Hành Sơn
Trần Văn Đang,Cẩm Lệ
Trần Văn Hai,Ngũ Hành Sơn
Trần Văn Kỳ,Liên Chiểu
Trần Văn Lan,Cẩm Lệ
Trần Văn Thành,Ngũ Hành Sơn
Trần Văn Trà,Hải Châu
Trần Xuân Lê,Thanh Khê
Trần Xuân Soạn,Cẩm Lệ
Triệu Việt Vương,Hải Châu
Trịnh Công Sơn,Hải Châu
Trịnh Đình Thảo,Cẩm Lệ
Trịnh Hoài Đức,Cẩm Lệ
Trịnh Khả,Cẩm Lệ
Trịnh Khắc Lập,Liên Chiểu
Trịnh Lỗi,Hải Châu
Trung Hòa 1,Ngũ Hành Sơn
Trung Hòa 2,Ngũ Hành Sơn
Trung Hòa 3,Ngũ Hành Sơn
Trung Hòa 4,Ngũ Hành Sơn
Trung Hòa 5,Ngũ Hành Sơn
Trung Lương 1,Cẩm Lệ
Trung Lương 2,Cẩm Lệ
Trung Lương 3,Cẩm Lệ
Trung Lương 4,Cẩm Lệ
Trung Lương 5,Cẩm Lệ
Trung Lương 6,Cẩm Lệ
Trung Lương 7,Cẩm Lệ
Trung Nghĩa 1,Liên Chiểu
Trung Nghĩa 2,Liên Chiểu
Trung Nghĩa 3,Liên Chiểu
Trung Nghĩa 4,Liên Chiểu
Trung Nghĩa 5,Liên Chiểu
Trung Nghĩa 6,Liên Chiểu
Trung Nghĩa 7,Liên Chiểu
Trừ Văn Thố,Cẩm Lệ
Trưng Nữ Vương,Cẩm Lệ
Trưng Nhị,Hải Châu
Trương Công Hy,Ngũ Hành Sơn
Trương Chí Cương,Hải Châu
Trường Chinh,Sơn Trà
Trương Đăng Quế,Hải Châu
Trương Định,Sơn Trà
Trương Gia Mô,Hải Châu
Trương Hán Siêu,Hải Châu
Trương Minh Giảng,Liên Chiểu
Trương Quang Giao,Cẩm Lệ
Trương Quyền,Liên Chiểu
Trường Sa,Cẩm Lệ
Trường Sơn,Cẩm Lệ
Trương Văn Đa,Liên Chiểu
Trương Văn Hiến,Ngũ Hành Sơn
Trương Vân Lĩnh,Liên Chiểu
Vạn Hạnh,Ngũ Hành Sơn
Vạn Tường,Ngũ Hành Sơn
Văn Cao,Thanh Khê
Văn Tân,Hải Châu
Văn Tiến Dũng,Cẩm Lệ
Văn Thánh 1,Liên Chiểu
Văn Thánh 2,Liên Chiểu
Văn Thánh 3,Liên Chiểu
Văn Thánh 4,Liên Chiểu
Vân Đồn,Sơn Trà
Việt Bắc,Ngũ Hành Sơn
Võ Duy Dương,Liên Chiểu
Võ Duy Đoán,Ngũ Hành Sơn
Võ Duy Ninh,Thanh Khê
Võ Nghĩa,Liên Chiểu
Võ Như Khương,Ngũ Hành Sơn
Võ Quảng,Hải Châu
Võ Thị Sáu,Hải Châu
Võ Trường Toản,Sơn Trà
Võ Văn Đặng,Hải Châu
Võ Văn Đồng,Sơn Trà
Võ Văn Tần,Thanh Khê
Vũ Cán,Thanh Khê
Vũ Đình Long,Sơn Trà
Vũ Huy Tấn,Liên Chiểu
Vũ Hữu,Liên Chiểu
Vũ Lập,Liên Chiểu
Vũ Miên,Huyện Hòa Vang
Vũ Ngọc Nhạ,Sơn Trà
Vũ Quỳnh,Thanh Khê
Vũ Tông Phan,Sơn Trà
Vũ Thạnh,Cẩm Lệ
Vũ Trọng Phụng,Hải Châu
Vũ Văn Cẩn,Hải Châu
Vũ Văn Dũng,Cẩm Lệ
Vũng Thùng 1,Sơn Trà
Vũng Thùng 2,Sơn Trà
Vũng Thùng 3,Sơn Trà
Vũng Thùng 4,Sơn Trà
Vũng Thùng 5,Sơn Trà
Vùng Trung 1,Thanh Khê
Vùng Trung 2,Liên Chiểu
Vùng Trung 3,Sơn Trà
Vùng Trung 4,Thanh Khê
Vùng Trung 5,Sơn Trà
Xô Viết Nghệ Tĩnh,Hải Châu
Xuân Diệu,Hải Châu
Xuân Đán 1,Thanh Khê
Xuân Hòa 1,Cẩm Lệ
Xuân Hòa 2,Cẩm Lệ
Xuân Thiều 1,Liên Chiểu
Xuân Thiều 10,Liên Chiểu
Xuân Thiều 11,Liên Chiểu
Xuân Thiều 12,Liên Chiểu
Xuân Thiều 14,Liên Chiểu
Xuân Thiều 2,Liên Chiểu
Xuân Thiều 3,Liên Chiểu
Xuân Thiều 4,Liên Chiểu
Xuân Thiều 5,Liên Chiểu
Xuân Thiều 6,Liên Chiểu
Xuân Thiều 7,Liên Chiểu
Xuân Thiều 8,Liên Chiểu
Xuân Thiều 9,Liên Chiểu
Xuân Thủy,Cẩm Lệ
Xuân Thủy (nối dài),Cẩm Lệ
Ỷ Lan Nguyên Phi,Hải Châu
Yersin,Ngũ Hành Sơn
Yên Bái,Hải Châu
Yên Khê 1,Thanh Khê
Yên Khê 2,Thanh Khê
Yên Thế,Cẩm Lệ
Yết Kiêu,Sơn Trà
Nguyễn Trãi,Hải Châu
Nguyễn Tri Phương,Hải Châu
Nguyễn Trường Tộ,Hải Châu
Nguyễn Văn Trỗi,Hải Châu
Nam Cao,Liên Chiểu
Sương Nguyệt Anh,Sơn Trà
Cách mạng Tháng Tám/ Cách mạng tháng 8,III thành phố Đà Nẵng cũ
Phan Du,Cẩm Lệ
Trần Triệu Luật,Liên Chiểu
Nguyễn Chơn,Liên Chiểu
Hòa Phú 20,Liên Chiểu
Hòa Phú 21,Liên Chiểu
Hòa Phú 22,Liên Chiểu
Hòa Phú 23,Liên Chiểu
Hòa Phú 24,Liên Chiểu
Hòa Phú 25,III thành phố Đà Nẵng cũ
Hòa Phú 26,Liên Chiểu
Hòa Phú 27,Liên Chiểu
Hòa Phú 28,Ngũ Hành Sơn
Hòa Phú 29,Ngũ Hành Sơn
Hòa Phú 30,Liên Chiểu
Hòa Phú 31,Liên Chiểu
Hòa Phú 32,Liên Chiểu
Đà Sơn 3,Liên Chiểu
Đà Sơn 4,Liên Chiểu
Đà Sơn 5,Liên Chiểu
Đà Sơn 6,Liên Chiểu
Đà Sơn 7,Liên Chiểu
Đà Sơn 8,Liên Chiểu
Khánh An 12,Liên Chiểu
Bàu Mạc 23,Liên Chiểu
Xuân Thiều 34,Liên Chiểu
Xuân Thiều 35,Liên Chiểu
Xuân Thiều 36,Liên Chiểu
Xuân Thiều 37,Liên Chiểu
Xuân Thiều 38,Liên Chiểu
Hòa Mỹ 9,Liên Chiểu
Lưu Trùng Dương,Ngũ Hành Sơn
Mỹ Thị,Ngũ Hành Sơn
Từ Giấy,Ngũ Hành Sơn
Phan Hoan,Ngũ Hành Sơn
Trương Xuân Nam,Ngũ Hành Sơn
Đặng Hồi Xuân,Ngũ Hành Sơn
Bờ Quan 2,Ngũ Hành Sơn
Bờ Quan 3,Ngũ Hành Sơn
Bờ Quan 4,Ngũ Hành Sơn
Bờ Quan 5,Ngũ Hành Sơn
Bờ Quan 6,Ngũ Hành Sơn
Bờ Quan 7,Ngũ Hành Sơn
Bờ Quan 8,Ngũ Hành Sơn
Bờ Quan 9,Ngũ Hành Sơn
Bờ Quan 10,Ngũ Hành Sơn
Bờ Quan 11,Ngũ Hành Sơn
Bờ Quan 12,Ngũ Hành Sơn
Bờ Quan 14,Ngũ Hành Sơn
Hói Kiểng 1,Ngũ Hành Sơn
Hói Kiểng 2,Ngũ Hành Sơn
Hói Kiểng 3,Ngũ Hành Sơn
Hói Kiểng 6,Ngũ Hành Sơn
Hói Kiểng 7,Ngũ Hành Sơn
Hói Kiểng 8,Ngũ Hành Sơn
Hói Kiểng 10,Ngũ Hành Sơn
Hói Kiểng 11,Ngũ Hành Sơn
Hói Kiểng 12,Ngũ Hành Sơn
Hói Kiểng 20,Ngũ Hành Sơn
Hói Kiểng 21,Ngũ Hành Sơn
Hói Kiểng 22,Ngũ Hành Sơn
Hói Kiểng 23,Ngũ Hành Sơn
Hói Kiểng 24,Ngũ Hành Sơn
Hói Kiểng 26,Ngũ Hành Sơn
Hói Kiểng 27,Ngũ Hành Sơn
Hói Kiểng 29,Ngũ Hành Sơn
Hói Kiểng 30,Ngũ Hành Sơn
Hói Kiểng 31,Ngũ Hành Sơn
Hói Kiểng 32,Ngũ Hành Sơn
Hói Kiểng 33,Ngũ Hành Sơn
Lâm Hoành,Sơn Trà
Mỹ Khê 4,Sơn Trà
Trần Bạch Đằng,Sơn Trà
Bàu Hạc 7,Thanh Khê
Bàu Hạc 8,Thanh Khê
Vĩnh Tân,Thanh Khê
Trà Ban 1,Liên Chiểu
Trà Ban 2,Cẩm Lệ
Trà Ban 3,Cẩm Lệ
Dương Sơn 1,Huyện Hòa Vang
Dương Sơn 2,Ngũ Hành Sơn
Dương Sơn 3,Hải Châu
Dương Sơn 4,Hải Châu
Dương Sơn 5,Hải Châu
Dương Sơn 6,Sơn Trà
Dương Sơn 7,Liên Chiểu
Dương Sơn 8,Sơn Trà
Dương Sơn 9,Ngũ Hành Sơn
Dương Sơn 10,Liên Chiểu
Dương Sơn 11,Thanh Khê
La Bông 1,Cẩm Lệ
La Bông 2,Sơn Trà
La Bông 3,Sơn Trà
La Bông 4,Hải Châu
La Bông 5,Ngũ Hành Sơn
La Bông 6,Sơn Trà
Phan Thêm,Sơn Trà
Nguyễn Chí Trung,Ngũ Hành Sơn
Nguyễn Triệu Luật,Ngũ Hành Sơn
Nguyễn Minh Vân,Sơn Trà
Phan Quang Định,Hải Châu
Vũ Phạm Hàm,Hải Châu
Hoàng Phê,Ngũ Hành Sơn
Bàu Nghè 1,Sơn Trà
Bàu Nghè 2,Sơn Trà
Bàu Nghè 3,Hải Châu
Bàu Nghè 4,Liên Chiểu
Bàu Nghè 5,Liên Chiểu
Bàu Nghè 6,Hải Châu
Bàu Nghè 7,III thành phố Đà Nẵng cũ
Bàu Nghè 8,Hải Châu
Bàu Nghè 9,Hải Châu
An Ngãi 1,Liên Chiểu
An Ngãi 2,Sơn Trà
An Ngãi 3,Hải Châu
An Ngãi 4,Ngũ Hành Sơn
An Ngãi 5,Liên Chiểu
An Ngãi 6,Thanh Khê
An Ngãi 7,Sơn Trà
An Ngãi 8,Liên Chiểu
An Ngãi 9,Sơn Trà
